INFO  17:04:38 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  17:04:38 New Cassandra host /172.31.7.56:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.7.56; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up insert with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Generating batches with [1..1] partitions and [1..1] rows (of [1..1] total rows in the partitions)
Warming up likelyquery0 with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Running [insert, likelyquery0] with 250 threads for 5000000 iteration
Failed to connect over JMX; not collecting these stats
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
insert,       363000,     107,     107,     107,   289.4,   271.8,   450.0,   577.5,   834.7,  1058.5, 3540.2,  0.01465,      0,      0,       0,       0,       0,       0
likelyquery0,   1091302,     315,     315,     315,   694.3,   651.5,  1040.6,  1320.9,  1694.2,  1901.4, 3540.2,  0.01465,      0,      0,       0,       0,       0,       0
total,       1454302,     422,     422,     422,   592.0,   590.4,   997.3,  1249.0,  1664.2,  1901.4, 3540.2,  0.01465,      0,      0,       0,       0,       0,       0
insert,       375906,     107,     107,     107,   287.6,   272.0,   454.3,   556.4,   668.3,   749.8, 3661.4,  0.01434,      0,      0,       0,       0,       0,       0
likelyquery0,   1129556,     316,     316,     316,   694.0,   658.6,  1036.7,  1221.2,  1399.7,  1645.6, 3661.4,  0.01434,      0,      0,       0,       0,       0,       0
total,       1505462,     422,     422,     422,   591.5,   590.1,   995.4,  1191.6,  1375.8,  1645.6, 3661.4,  0.01434,      0,      0,       0,       0,       0,       0
insert,       382465,     103,     103,     103,   298.7,   280.1,   482.8,   608.0,   759.3,   886.6, 3725.3,  0.01404,      0,      0,       0,       0,       0,       0
likelyquery0,   1149317,     309,     309,     309,   712.3,   671.6,  1055.4,  1318.3,  1635.8,  1731.5, 3725.3,  0.01404,      0,      0,       0,       0,       0,       0
total,       1531782,     412,     412,     412,   609.2,   610.8,  1015.2,  1260.6,  1587.6,  1731.5, 3725.3,  0.01404,      0,      0,       0,       0,       0,       0
insert,       390802,     105,     105,     105,   292.4,   280.3,   453.2,   553.4,   702.8,   823.1, 3804.4,  0.01376,      0,      0,       0,       0,       0,       0
likelyquery0,   1173907,     311,     311,     311,   704.8,   678.5,  1033.5,  1245.9,  1404.3,  1529.0, 3804.4,  0.01376,      0,      0,       0,       0,       0,       0
total,       1564709,     416,     416,     416,   600.4,   604.4,   984.1,  1203.3,  1369.0,  1529.0, 3804.4,  0.01376,      0,      0,       0,       0,       0,       0
insert,       399170,     101,     101,     101,   291.8,   270.3,   487.4,   588.3,   693.2,   774.8, 3887.0,  0.01348,      0,      0,       0,       0,       0,       0
