INFO  15:21:55 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  15:21:55 New Cassandra host /172.31.7.56:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.7.56; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up likelyquery0 with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Running [likelyquery0] with 250 threads for 20000000 iteration
Failed to connect over JMX; not collecting these stats
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,        189726,    1673,    1673,    1673,   148.4,   145.2,   182.9,   209.5,   243.7,   249.2,  115.6,  0.00586,      0,      0,       0,       0,       0,       0
total,        191731,    1599,    1599,    1599,   157.3,   150.1,   212.8,   242.7,   268.3,   298.1,  116.8,  0.00581,      0,      0,       0,       0,       0,       0
total,        193660,    1625,    1625,    1625,   154.0,   150.8,   193.9,   217.7,   280.2,   283.9,  118.0,  0.00575,      0,      0,       0,       0,       0,       0
total,        195652,    1665,    1665,    1665,   149.9,   146.2,   187.1,   209.9,   245.0,   253.9,  119.2,  0.00570,      0,      0,       0,       0,       0,       0
total,        197538,    1592,    1592,    1592,   155.7,   152.5,   195.2,   220.5,   259.1,   278.3,  120.4,  0.00565,      0,      0,       0,       0,       0,       0
total,        199460,    1626,    1626,    1626,   153.3,   150.6,   190.7,   213.7,   257.8,   257.9,  121.6,  0.00559,      0,      0,       0,       0,       0,       0
total,        201371,    1647,    1647,    1647,   153.3,   148.4,   195.7,   221.3,   265.6,   293.3,  122.7,  0.00554,      0,      0,       0,       0,       0,       0
total,        203324,    1612,    1612,    1612,   155.0,   151.3,   194.5,   221.5,   265.6,   266.6,  124.0,  0.00549,      0,      0,       0,       0,       0,       0
total,        205250,    1620,    1620,    1620,   154.0,   150.6,   190.2,   215.7,   245.4,   249.6,  125.1,  0.00544,      0,      0,       0,       0,       0,       0
total,        207185,    1584,    1584,    1584,   157.7,   155.6,   199.6,   226.4,   259.6,   291.6,  126.4,  0.00540,      0,      0,       0,       0,       0,       0
total,        209124,    1553,    1553,    1553,   161.5,   154.6,   224.3,   255.2,   303.4,   303.9,  127.6,  0.00537,      0,      0,       0,       0,       0,       0
total,        211034,    1622,    1622,    1622,   153.7,   150.9,   190.7,   217.6,   287.7,   307.9,  128.8,  0.00532,      0,      0,       0,       0,       0,       0
total,        212891,    1579,    1579,    1579,   157.5,   154.1,   200.4,   230.6,   274.6,   274.9,  130.0,  0.00529,      0,      0,       0,       0,       0,       0
total,        214765,    1609,    1609,    1609,   156.4,   153.0,   191.6,   224.0,   271.9,   272.9,  131.1,  0.00524,      0,      0,       0,       0,       0,       0
total,        216744,    1585,    1585,    1585,   158.2,   150.6,   209.7,   240.2,   266.7,   271.3,  132.4,  0.00520,      0,      0,       0,       0,       0,       0
total,        218641,    1598,    1598,    1598,   153.7,   149.9,   188.9,   215.3,   232.5,   246.7,  133.6,  0.00516,      0,      0,       0,       0,       0,       0
total,        220596,    1627,    1627,    1627,   155.4,   150.6,   207.1,   230.4,   253.2,   264.4,  134.8,  0.00512,      0,      0,       0,       0,       0,       0
total,        222517,    1625,    1625,    1625,   153.7,   148.9,   197.9,   229.8,   267.4,   280.0,  135.9,  0.00507,      0,      0,       0,       0,       0,       0
total,        224457,    1645,    1645,    1645,   151.8,   149.1,   182.2,   206.5,   229.1,   266.9,  137.1,  0.00503,      0,      0,       0,       0,       0,       0
total,        226396,    1599,    1599,    1599,   156.7,   153.3,   195.8,   222.5,   260.8,   276.7,  138.3,  0.00499,      0,      0,       0,       0,       0,       0
total,        228308,    1605,    1605,    1605,   154.9,   151.8,   191.2,   215.8,   238.6,   247.5,  139.5,  0.00495,      0,      0,       0,       0,       0,       0
total,        230243,    1652,    1652,    1652,   151.7,   148.2,   187.8,   209.9,   263.7,   313.3,  140.7,  0.00491,      0,      0,       0,       0,       0,       0
total,        232119,    1604,    1604,    1604,   156.6,   153.1,   192.1,   222.2,   256.2,   272.3,  141.9,  0.00487,      0,      0,       0,       0,       0,       0
total,        234007,    1590,    1590,    1590,   157.3,   152.2,   201.5,   230.0,   285.0,   307.7,  143.1,  0.00484,      0,      0,       0,       0,       0,       0
total,        235994,    1584,    1584,    1584,   158.2,   154.2,   199.9,   225.4,   256.3,   257.9,  144.3,  0.00481,      0,      0,       0,       0,       0,       0
total,        237947,    1620,    1620,    1620,   152.3,   147.5,   190.8,   213.8,   240.3,   261.9,  145.5,  0.00477,      0,      0,       0,       0,       0,       0
total,        239889,    1606,    1606,    1606,   156.9,   150.7,   208.9,   235.5,   258.3,   263.1,  146.7,  0.00473,      0,      0,       0,       0,       0,       0
total,        241783,    1580,    1580,    1580,   157.6,   154.9,   197.2,   225.8,   255.6,   257.3,  147.9,  0.00470,      0,      0,       0,       0,       0,       0
total,        243557,    1453,    1453,    1453,   171.8,   167.8,   218.4,   239.2,   271.7,   273.5,  149.1,  0.00475,      0,      0,       0,       0,       0,       0
total,        245469,    1596,    1596,    1596,   157.8,   152.9,   200.2,   222.6,   248.2,   254.3,  150.3,  0.00472,      0,      0,       0,       0,       0,       0
